Destination,Type,Budget (INR),Duration (days),Rating,Climate,Popularity,Best Season,Latitude,Longitude,Best Food to Try,Best Mode of Transportation
Ladakh,Adventure,32334,5,4.3,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,32023,6,4.8,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,32177,5,4.6,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Munnar,Hill Station,16077,2,4.2,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Andaman,Beach,23386,5,4.1,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Rishikesh,Adventure,13673,4,4.5,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Munnar,Hill Station,15366,2,4.6,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Goa,Beach,20517,3,4.2,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Ladakh,Adventure,29569,7,4.5,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Hampi,Heritage,11495,3,4.8,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Darjeeling,Hill Station,17334,5,4.7,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Kaziranga,Wildlife,19152,3,4.6,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Mysore,Cultural,11688,2,4.5,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Goa,Beach,20495,4,4.4,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Jaipur,Historical,14194,2,4.5,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ooty,Hill Station,14072,4,4.3,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Hampi,Heritage,15818,2,4.0,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Goa,Beach,22627,4,4.0,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Jaipur,Historical,10515,2,4.3,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ranthambore,Wildlife,19050,3,4.5,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ladakh,Adventure,32222,7,4.8,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,28612,6,4.1,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Mysore,Cultural,11542,2,4.3,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Kaziranga,Wildlife,18642,5,4.6,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Andaman,Beach,25974,4,4.6,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Munnar,Hill Station,15855,4,4.5,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Andaman,Beach,24533,6,4.4,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Darjeeling,Hill Station,15257,4,4.5,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Ranthambore,Wildlife,21692,3,4.9,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ranthambore,Wildlife,18480,4,4.5,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Jaipur,Historical,10776,3,4.1,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Jaipur,Historical,14060,3,4.2,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ladakh,Adventure,28687,6,4.1,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Goa,Beach,19022,4,4.3,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Rishikesh,Adventure,10499,5,4.6,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ooty,Hill Station,14418,2,4.6,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Hampi,Heritage,11511,3,4.4,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Udaipur,Historical,13775,2,4.4,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Kaziranga,Wildlife,17444,4,4.8,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Ladakh,Adventure,31837,7,4.8,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Udaipur,Historical,16569,3,4.6,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Shimla,Hill Station,15542,5,4.4,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,17074,5,4.6,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Hampi,Heritage,15460,3,4.7,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ladakh,Adventure,31892,6,4.7,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Rishikesh,Adventure,14854,4,4.4,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,10966,4,4.4,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Jaipur,Historical,11925,2,4.2,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Goa,Beach,18442,3,4.8,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Kaziranga,Wildlife,20743,4,4.1,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Udaipur,Historical,14693,3,4.4,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Munnar,Hill Station,15031,3,4.6,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Munnar,Hill Station,17842,4,4.2,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Ladakh,Adventure,30551,6,4.7,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Udaipur,Historical,13636,3,4.1,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Ladakh,Adventure,30576,6,4.3,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ranthambore,Wildlife,21531,4,4.1,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Jaipur,Historical,12905,4,4.5,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Jaipur,Historical,11240,2,4.8,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Rishikesh,Adventure,14523,4,4.7,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,18724,5,4.8,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Darjeeling,Hill Station,16070,3,4.2,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Ladakh,Adventure,28318,5,4.3,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ooty,Hill Station,16823,2,4.8,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Kaziranga,Wildlife,16540,3,4.0,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Darjeeling,Hill Station,17184,4,4.2,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Rishikesh,Adventure,11923,5,4.4,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ladakh,Adventure,30008,5,4.6,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Shimla,Hill Station,14182,4,4.3,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Shimla,Hill Station,17228,5,4.2,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Ooty,Hill Station,12914,3,4.8,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Mysore,Cultural,12524,2,4.1,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Udaipur,Historical,13812,3,4.5,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Ladakh,Adventure,31663,7,4.5,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,32494,5,4.1,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Manali,Hill Station,13208,6,4.7,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Rishikesh,Adventure,10822,5,4.7,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Shimla,Hill Station,15894,3,4.8,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Kaziranga,Wildlife,19949,5,4.2,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Shimla,Hill Station,17579,3,4.4,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Shimla,Hill Station,14430,3,4.4,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Udaipur,Historical,14434,2,4.8,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Hampi,Heritage,14674,2,4.7,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Hampi,Heritage,11301,2,4.4,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Shimla,Hill Station,18324,4,4.7,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Kaziranga,Wildlife,19280,3,4.3,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Shimla,Hill Station,15922,4,4.5,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Jaipur,Historical,11803,2,4.6,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ranthambore,Wildlife,22691,2,4.7,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Andaman,Beach,23475,4,4.9,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Manali,Hill Station,15409,4,4.1,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Rishikesh,Adventure,11019,5,4.1,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,15026,3,4.9,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Hampi,Heritage,15405,2,4.1,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Jaipur,Historical,14067,4,4.2,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Jaipur,Historical,10641,4,4.2,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Rishikesh,Adventure,14621,4,4.0,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ooty,Hill Station,15519,3,4.7,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Ladakh,Adventure,29330,7,4.8,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Hampi,Heritage,13710,3,4.3,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Darjeeling,Hill Station,17161,3,4.7,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Goa,Beach,19152,3,4.0,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Mysore,Cultural,9951,2,4.5,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Udaipur,Historical,12866,4,4.4,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Hampi,Heritage,14755,3,4.9,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Jaipur,Historical,10763,3,4.1,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Jaipur,Historical,13458,2,4.3,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Mysore,Cultural,9489,3,4.5,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Rishikesh,Adventure,12485,5,4.5,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,16353,5,4.1,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Ladakh,Adventure,29619,7,4.8,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Kaziranga,Wildlife,19252,3,4.0,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Andaman,Beach,24058,4,4.1,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Darjeeling,Hill Station,18395,4,4.1,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Shimla,Hill Station,15281,4,4.3,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Rishikesh,Adventure,14919,5,4.6,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Goa,Beach,19904,4,4.6,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Munnar,Hill Station,15774,3,4.8,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Munnar,Hill Station,17135,4,4.3,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Shimla,Hill Station,15236,3,4.1,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Rishikesh,Adventure,11656,3,4.3,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Mysore,Cultural,10795,2,4.4,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Darjeeling,Hill Station,16923,3,4.6,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Rishikesh,Adventure,13379,4,4.0,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ladakh,Adventure,32243,6,4.7,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,24200,5,4.6,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Darjeeling,Hill Station,19573,3,4.3,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Manali,Hill Station,16824,6,4.1,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Darjeeling,Hill Station,15046,4,4.9,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Udaipur,Historical,15673,2,4.8,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Kaziranga,Wildlife,19863,4,4.5,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Darjeeling,Hill Station,18489,3,4.6,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Darjeeling,Hill Station,19594,5,4.4,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,13556,3,4.1,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ooty,Hill Station,14580,3,4.9,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Ladakh,Adventure,29489,7,4.3,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,32704,5,4.3,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,25045,4,4.3,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Munnar,Hill Station,14530,2,4.3,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Ladakh,Adventure,31917,6,4.6,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,25245,5,4.4,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Hampi,Heritage,11047,2,4.6,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ladakh,Adventure,30711,7,4.2,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,27116,5,4.5,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Goa,Beach,18210,5,4.7,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Goa,Beach,19001,4,4.6,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Kaziranga,Wildlife,16826,3,4.7,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Udaipur,Historical,13721,2,4.5,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Udaipur,Historical,14968,2,4.1,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Darjeeling,Hill Station,19990,4,4.1,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Udaipur,Historical,12422,3,4.7,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Darjeeling,Hill Station,16949,5,4.8,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Ooty,Hill Station,14215,3,4.4,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Ooty,Hill Station,16206,3,4.4,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Mysore,Cultural,10881,2,4.7,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Shimla,Hill Station,14698,5,4.3,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,18687,4,4.4,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Goa,Beach,22074,4,4.3,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Ranthambore,Wildlife,22772,2,4.1,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ladakh,Adventure,31158,5,4.2,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Kaziranga,Wildlife,17282,3,4.2,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Mysore,Cultural,8433,2,4.3,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Manali,Hill Station,14459,5,4.1,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Rishikesh,Adventure,11513,4,4.0,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Manali,Hill Station,13709,4,4.5,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Ladakh,Adventure,30987,6,4.2,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Manali,Hill Station,13269,6,4.8,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,11795,3,4.5,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Jaipur,Historical,12227,2,4.3,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Manali,Hill Station,15014,5,4.5,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Kaziranga,Wildlife,17302,4,4.8,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Udaipur,Historical,16810,2,4.8,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Manali,Hill Station,14505,4,4.3,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Darjeeling,Hill Station,18543,5,4.0,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Mysore,Cultural,9808,2,4.8,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Mysore,Cultural,12535,2,4.1,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Udaipur,Historical,13140,4,4.8,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Udaipur,Historical,12016,2,4.3,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Goa,Beach,18237,4,4.8,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Munnar,Hill Station,16180,4,4.6,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Rishikesh,Adventure,13085,5,4.4,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,12552,3,4.7,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Mysore,Cultural,9664,2,4.6,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Shimla,Hill Station,18323,4,4.4,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Ladakh,Adventure,28011,5,4.4,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,28783,7,4.3,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ranthambore,Wildlife,20313,4,4.8,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Jaipur,Historical,14827,3,4.7,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Kaziranga,Wildlife,16587,4,4.8,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Manali,Hill Station,17930,6,4.6,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Mysore,Cultural,11060,2,4.3,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Hampi,Heritage,12592,3,4.7,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Andaman,Beach,24444,6,4.1,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Ladakh,Adventure,30914,7,4.7,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Darjeeling,Hill Station,15582,4,4.9,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Munnar,Hill Station,15098,4,4.1,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Jaipur,Historical,12070,4,4.5,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Shimla,Hill Station,18031,3,4.2,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Munnar,Hill Station,17136,2,4.6,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Rishikesh,Adventure,14361,4,4.4,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Udaipur,Historical,14577,2,4.7,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Goa,Beach,19471,4,4.2,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Udaipur,Historical,14202,3,4.2,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Munnar,Hill Station,15851,2,4.7,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Darjeeling,Hill Station,16658,5,4.8,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Ranthambore,Wildlife,18160,4,4.0,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Kaziranga,Wildlife,18752,5,4.3,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Ooty,Hill Station,13550,4,4.3,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Shimla,Hill Station,14100,4,4.7,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Rishikesh,Adventure,12967,3,4.5,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,11033,4,4.2,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Andaman,Beach,24204,4,4.6,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Jaipur,Historical,11802,4,4.5,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Manali,Hill Station,13797,6,4.7,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Darjeeling,Hill Station,16718,3,4.4,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Munnar,Hill Station,16405,4,4.3,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Shimla,Hill Station,15691,3,4.2,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Andaman,Beach,27211,6,4.9,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Ranthambore,Wildlife,21105,4,4.1,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Rishikesh,Adventure,14807,4,4.8,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Goa,Beach,22968,3,4.8,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Kaziranga,Wildlife,17225,4,4.9,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Hampi,Heritage,11720,2,4.7,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ranthambore,Wildlife,21426,3,4.5,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Shimla,Hill Station,18070,3,4.4,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Ladakh,Adventure,29433,7,4.2,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Shimla,Hill Station,17835,3,4.1,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Andaman,Beach,23980,4,4.5,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Ooty,Hill Station,15208,2,4.6,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Munnar,Hill Station,16911,4,4.4,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Goa,Beach,22251,3,4.1,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Mysore,Cultural,12441,3,4.5,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Shimla,Hill Station,17687,5,4.4,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Mysore,Cultural,10353,2,4.9,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Darjeeling,Hill Station,18854,3,4.0,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Kaziranga,Wildlife,20938,5,4.6,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Munnar,Hill Station,16430,2,4.8,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Goa,Beach,22691,5,4.2,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Ranthambore,Wildlife,20836,3,4.2,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Rishikesh,Adventure,10308,5,4.3,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,17635,3,4.7,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Darjeeling,Hill Station,15230,4,4.9,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Darjeeling,Hill Station,15774,3,4.3,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Kaziranga,Wildlife,16487,4,4.7,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Manali,Hill Station,15397,6,4.5,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,11342,4,4.1,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Goa,Beach,20293,3,4.5,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Udaipur,Historical,16986,2,4.3,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Mysore,Cultural,11642,2,4.7,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Darjeeling,Hill Station,17187,4,4.4,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
